query_id,difficulty,category_slot,domain_slot,query_en,query_ko,original_language,query_author,author_role,date_written,results_not_seen_yes,notes
S01,simple,topic_or_modality,neurological,Single-cell RNA sequencing of Alzheimer's disease microglia,알츠하이머병 미세아교세포의 단일세포 RNA 시퀀싱,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S02,simple,topic_or_modality,solid_tumor,Bulk RNA-seq of KRAS-mutant lung adenocarcinoma,KRAS 변이 폐선암종의 bulk RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S03,simple,topic_or_modality,hematologic_cancer,Single-cell transcriptomics of chimeric antigen receptor T cells in acute lymphoblastic leukemia,급성 림프구성 백혈병에서 CAR-T 세포의 단일세포 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S04,simple,topic_or_modality,immune_autoimmune,Gene-expression profiling of synovial tissue in rheumatoid arthritis,류마티스 관절염 활막 조직의 유전자 발현 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S05,simple,topic_or_modality,infectious_bacterial,RNA sequencing of Pseudomonas aeruginosa during biofilm formation,바이오필름 형성 과정에서 녹농균의 RNA 시퀀싱,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S06,simple,topic_or_modality,infectious_viral,Single-cell profiling of peripheral-blood immune responses to SARS-CoV-2 infection,말초혈액에서 SARS-CoV-2 감염에 대한 면역반응의 단일세포 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S07,simple,topic_or_modality,metabolic_diabetes,Transcriptomic landscape of pancreatic islet beta cells in type 2 diabetes,2형 당뇨병 췌장섬 베타세포의 전사체 특성,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S08,simple,topic_or_modality,cardiovascular,Single-nucleus RNA-seq of human cardiomyocytes in dilated cardiomyopathy,확장성 심근병증 환자 심근세포의 단일핵 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S09,simple,topic_or_modality,developmental,Single-cell RNA sequencing of neural progenitor cells during cerebral-cortex development,대뇌피질 발달 과정에서 신경 전구세포의 단일세포 RNA 시퀀싱,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S10,simple,topic_or_modality,rare_disease,Spatial transcriptomics of spinal-cord tissue in amyotrophic lateral sclerosis,근위축성 측삭경화증 척수 조직의 공간 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S11,simple,topic_or_modality,microbiome,Gut-microbiome metagenomics in inflammatory bowel disease,염증성 장질환의 장내 미생물군집 메타게놈 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S12,simple,topic_or_modality,proteomics,Mass-spectrometry-based quantitative proteomics of plasma from patients with sepsis,패혈증 환자 혈장의 질량분석 기반 정량 단백체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S13,simple,topic_or_modality,epigenomics,DNA-methylation patterns in promoter regions of hepatocellular carcinoma,간세포암 프로모터 영역의 DNA 메틸화 양상,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S14,simple,topic_or_modality,spatial_omics,Visium spatial transcriptomics of the human glioblastoma microenvironment,인간 교모세포종 미세환경의 Visium 공간 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S15,simple,topic_or_modality,pharmacology,Transcriptomic changes in hepatocytes following acetaminophen treatment,아세트아미노펜 처리 후 간세포의 전사체 변화,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S16,simple,topic_or_modality,aging,Single-cell RNA-seq of aging human dermal fibroblasts,노화된 인간 진피 섬유아세포의 단일세포 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S17,simple,topic_or_modality,reproductive,Single-cell transcriptomics of human endometrial tissue across the menstrual cycle,월경주기에 따른 인간 자궁내막 조직의 단일세포 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S18,simple,topic_or_modality,environmental_exposure,Gene-expression changes in human lung epithelial cells exposed to PM2.5,PM2.5 초미세먼지에 노출된 인간 폐 상피세포의 유전자 발현 변화,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S19,simple,topic_or_modality,non_human_model,Single-cell transcriptome atlas of zebrafish heart regeneration,제브라피시 심장 재생의 단일세포 전사체 지도,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
S20,simple,topic_or_modality,author_choice,Spatial transcriptomics of triple-negative breast cancer,삼중음성 유방암의 공간 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M01,medium,disease_tissue_modality,neurological,Single-cell RNA-seq of dopaminergic neurons in the substantia nigra in Parkinson's disease,파킨슨병 환자 흑질의 도파민성 신경세포 단일세포 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M02,medium,disease_tissue_modality,solid_tumor,Spatial transcriptomics and single-nucleus RNA-seq of glioblastoma tumor core and infiltrative margin,교모세포종 종양 중심부와 침윤 경계부의 공간 전사체 및 단일핵 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M03,medium,disease_tissue_modality,hematologic_cancer,Single-cell immune profiling of the bone-marrow microenvironment in multiple myeloma,다발성 골수종 골수 미세환경의 단일세포 면역 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M04,medium,disease_tissue_modality,immune_autoimmune,Single-cell RNA sequencing of CD4-positive T-cell subsets in skin lesions from systemic lupus erythematosus,전신홍반루푸스 피부 병변의 CD4 양성 T세포 아형 단일세포 RNA 시퀀싱,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M05,medium,disease_tissue_modality,infectious_bacterial,Host-pathogen dual RNA-seq of Mycobacterium tuberculosis-infected lung tissue,결핵균 감염 폐 조직의 숙주-병원체 이중 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M06,medium,disease_tissue_modality,infectious_viral,Spatial transcriptomics of HIV-1 reservoir-associated immune niches in lymph-node biopsies,림프절 생검 조직에서 HIV-1 저장소 연관 면역 틈새의 공간 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M07,medium,disease_tissue_modality,metabolic_diabetes,Bulk and single-nucleus transcriptomics of subcutaneous adipose tissue in severe obesity and type 2 diabetes,고도비만 및 2형 당뇨병 환자 피하지방 조직의 bulk 및 단일핵 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M08,medium,disease_tissue_modality,cardiovascular,Single-cell RNA sequencing of vascular endothelial cells in atherosclerotic plaques,죽상경화반 혈관 내피세포의 단일세포 RNA 시퀀싱,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M09,medium,disease_tissue_modality,developmental,Spatial gene-expression profiling across stages of human embryonic heart development,인간 배아 심장 발달 단계별 공간 유전자 발현 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M10,medium,disease_tissue_modality,rare_disease,Single-cell RNA-seq of peripheral-blood mononuclear cells from patients with Huntington's disease,헌팅턴병 환자 말초혈액 단핵세포의 단일세포 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M11,medium,disease_tissue_modality,microbiome,Paired mucosal host-transcriptome and microbiome profiling in ulcerative colitis biopsies,궤양성 대장염 점막 생검 조직의 숙주 전사체와 미생물군집 쌍 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M12,medium,disease_tissue_modality,proteomics,Aptamer-based proteomic profiling of cerebrospinal fluid in postoperative delirium cases and matched controls,수술 후 섬망 환자와 짝지은 대조군 뇌척수액의 압타머 기반 단백체 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M13,medium,disease_tissue_modality,epigenomics,Single-cell ATAC-seq and RNA-seq profiling of chromatin accessibility in prostate cancer,전립선암 크로마틴 접근성의 단일세포 ATAC-seq 및 RNA-seq 통합 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M14,medium,disease_tissue_modality,spatial_omics,Single-nucleus RNA-seq with multiplexed ion-beam imaging in pancreatic ductal adenocarcinoma,췌장관선암종의 단일핵 RNA-seq 및 다중 이온빔 이미징 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M15,medium,disease_tissue_modality,pharmacology,Single-cell transcriptome profiling of cisplatin-resistant ovarian-cancer cell lines,시스플라틴 내성 난소암 세포주의 단일세포 전사체 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M16,medium,disease_tissue_modality,aging,Single-nucleus RNA-seq of the human hippocampus across aging,노화에 따른 인간 해마의 단일핵 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M17,medium,disease_tissue_modality,reproductive,Single-nucleus RNA-seq of placental trophoblast populations in preeclampsia,전자간증 태반 영양막세포 집단의 단일핵 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M18,medium,disease_tissue_modality,environmental_exposure,Transcriptomic profiling of airway epithelial cells exposed to electronic-cigarette vapor,전자담배 증기에 노출된 기도 상피세포의 전사체 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M19,medium,disease_tissue_modality,non_human_model,Single-cell RNA-seq atlas of organoid models derived from mouse intestinal stem cells,마우스 장 줄기세포 유래 오가노이드 모델의 단일세포 RNA-seq 지도,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
M20,medium,disease_tissue_modality,author_choice,Spatial transcriptomics and single-cell RNA-seq of tumor-infiltrating lymphocytes in melanoma,흑색종 종양침윤 림프구의 공간 전사체 및 단일세포 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C01,complex,case_control,author_choice_domain,Single-cell RNA-seq comparing glioblastoma tissue with non-neoplastic cortical tissue from epilepsy-surgery controls,교모세포종 조직과 뇌전증 수술에서 확보한 비종양성 대뇌피질 대조 조직의 단일세포 RNA-seq 비교,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C02,complex,paired_samples,author_choice_domain,Paired single-cell transcriptomics of tumor and adjacent normal tissue in hepatocellular carcinoma,간세포암 환자의 종양과 인접 정상 조직 쌍 단일세포 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
