dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,bm25_only,en,ALL,facet_present_macro,0.7261904761904763,0.6666666666666666,0.2847204938833666,49,49,49,0,0
hard_queries,bm25_only,en,ALL,facet_conjunctive_macro,0.6955782312925171,0.6666666666666666,0.30001465402993127,49,49,49,0,0
hard_queries,bm25_only,en,ALL,exclusion_clean_at_k,0.7636363636363637,0.9,0.2603240193322973,11,49,49,0,0
hard_queries,bm25_only,en,abbrev_ambiguous,facet_present_macro,0.611111111111111,0.6666666666666666,0.3557291243018249,6,6,6,0,0
hard_queries,bm25_only,en,abbrev_ambiguous,facet_conjunctive_macro,0.611111111111111,0.6666666666666666,0.3557291243018249,6,6,6,0,0
hard_queries,bm25_only,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,1.0,0.0,2,6,6,0,0
hard_queries,bm25_only,en,abbrev_standard,facet_present_macro,0.9444444444444445,1.0,0.12422599874998833,6,6,6,0,0
hard_queries,bm25_only,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,bm25_only,en,abbrev_tcga,facet_present_macro,0.5,0.5,0.14907119849998599,5,5,5,0,0
hard_queries,bm25_only,en,abbrev_tcga,facet_conjunctive_macro,0.5,0.5,0.14907119849998599,5,5,5,0,0
hard_queries,bm25_only,en,abbrev_tcga,exclusion_clean_at_k,1.0,1.0,0.0,1,5,5,0,0
hard_queries,bm25_only,en,cardinality_and,facet_present_macro,0.7916666666666666,0.875,0.2441443865450965,6,6,6,0,0
hard_queries,bm25_only,en,cardinality_and,facet_conjunctive_macro,0.7916666666666666,0.875,0.2441443865450965,6,6,6,0,0
hard_queries,bm25_only,en,celltype_x_tissue,facet_present_macro,0.5,0.5,0.0,2,2,2,0,0
hard_queries,bm25_only,en,celltype_x_tissue,facet_conjunctive_macro,0.5,0.5,0.0,2,2,2,0,0
hard_queries,bm25_only,en,dose_response,facet_present_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,bm25_only,en,dose_response,facet_conjunctive_macro,1.0,1.0,0.0,1,1,1,0,0
hard_queries,bm25_only,en,dual_disease,facet_present_macro,0.75,0.75,0.25,2,2,2,0,0
hard_queries,bm25_only,en,dual_disease,facet_conjunctive_macro,0.5,0.5,0.5,2,2,2,0,0
hard_queries,bm25_only,en,exclusion_extended,facet_present_macro,0.8611111111111112,1.0,0.2022252747022366,6,6,6,0,0
hard_queries,bm25_only,en,exclusion_extended,facet_conjunctive_macro,0.8055555555555555,0.8333333333333333,0.20222527470223664,6,6,6,0,0
hard_queries,bm25_only,en,exclusion_extended,exclusion_clean_at_k,0.6833333333333332,0.75,0.27938424357067015,6,6,6,0,0
hard_queries,bm25_only,en,lessons_wildcard,facet_present_macro,0.6944444444444445,0.5833333333333333,0.22395160411940415,6,6,6,0,0
hard_queries,bm25_only,en,lessons_wildcard,facet_conjunctive_macro,0.6944444444444445,0.5833333333333333,0.22395160411940415,6,6,6,0,0
hard_queries,bm25_only,en,longitudinal,facet_present_macro,0.5,0.5,0.0,1,1,1,0,0
