dataset,mode,lang,axis,metric,mean,median,std,n_queries
hard_queries,rrf_rerank,en,ALL,facet_present_macro,0.7738095238095237,1.0,0.27868333120761013,49
hard_queries,rrf_rerank,en,ALL,facet_conjunctive_macro,0.75,0.75,0.29354352395090366,49
hard_queries,rrf_rerank,en,ALL,exclusion_clean_at_k,0.8454545454545456,1.0,0.20610516452281152,11
hard_queries,rrf_rerank,en,abbrev_ambiguous,facet_present_macro,0.7222222222222222,,,6
hard_queries,rrf_rerank,en,abbrev_ambiguous,facet_conjunctive_macro,0.7222222222222222,,,6
hard_queries,rrf_rerank,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,,,2
hard_queries,rrf_rerank,en,abbrev_standard,facet_present_macro,0.9444444444444445,,,6
hard_queries,rrf_rerank,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,rrf_rerank,en,abbrev_tcga,facet_present_macro,0.6,,,5
hard_queries,rrf_rerank,en,abbrev_tcga,facet_conjunctive_macro,0.6,,,5
hard_queries,rrf_rerank,en,abbrev_tcga,exclusion_clean_at_k,1.0,,,1
hard_queries,rrf_rerank,en,cardinality_and,facet_present_macro,0.8333333333333334,,,6
hard_queries,rrf_rerank,en,cardinality_and,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,rrf_rerank,en,celltype_x_tissue,facet_present_macro,0.625,,,2
hard_queries,rrf_rerank,en,celltype_x_tissue,facet_conjunctive_macro,0.625,,,2
hard_queries,rrf_rerank,en,dose_response,facet_present_macro,1.0,,,1
hard_queries,rrf_rerank,en,dose_response,facet_conjunctive_macro,1.0,,,1
hard_queries,rrf_rerank,en,dual_disease,facet_present_macro,0.75,,,2
hard_queries,rrf_rerank,en,dual_disease,facet_conjunctive_macro,0.5,,,2
hard_queries,rrf_rerank,en,exclusion_extended,facet_present_macro,0.9444444444444445,,,6
hard_queries,rrf_rerank,en,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,rrf_rerank,en,exclusion_extended,exclusion_clean_at_k,0.7999999999999999,,,6
hard_queries,rrf_rerank,en,lessons_wildcard,facet_present_macro,0.7777777777777778,,,6
hard_queries,rrf_rerank,en,lessons_wildcard,facet_conjunctive_macro,0.7777777777777778,,,6
hard_queries,rrf_rerank,en,longitudinal,facet_present_macro,0.5,,,1
hard_queries,rrf_rerank,en,longitudinal,facet_conjunctive_macro,0.5,,,1
hard_queries,rrf_rerank,en,multi_omics,facet_present_macro,0.3333333333333333,,,2
hard_queries,rrf_rerank,en,multi_omics,facet_conjunctive_macro,0.3333333333333333,,,2
hard_queries,rrf_rerank,en,multi_organism,facet_present_macro,0.8333333333333333,,,2
hard_queries,rrf_rerank,en,multi_organism,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,rrf_rerank,en,negation,facet_present_macro,0.8333333333333333,,,2
hard_queries,rrf_rerank,en,negation,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,rrf_rerank,en,negation,exclusion_clean_at_k,0.75,,,2
hard_queries,rrf_rerank,en,paired_multi_tissue,facet_present_macro,0.6666666666666666,,,2
hard_queries,rrf_rerank,en,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,,,2
hard_queries,rrf_rerank,ko,ALL,facet_present_macro,0.7534013605442177,1.0,0.29736140451663884,49
hard_queries,rrf_rerank,ko,ALL,facet_conjunctive_macro,0.7363945578231293,0.75,0.31196243504212523,49
hard_queries,rrf_rerank,ko,ALL,exclusion_clean_at_k,0.6909090909090909,0.7,0.2906248611481051,11
