scope,metric,n,min_ms,p50_ms,p95_ms,max_ms,mean_ms
all,elapsed_ms,491,6706.4,12662.8,17255.6,26743.1,12777.8
all,llm_ms,491,6665.7,11085.8,15255.0,24331.5,11403.3
all,normalization_ms,491,19.7,1332.0,2615.1,9631.4,1372.2
sra_phase3,elapsed_ms,100,6706.4,8912.2,14010.8,15016.9,9806.7
sra_phase3,llm_ms,100,6665.7,8798.0,12369.8,14696.8,9228.1
sra_phase3,normalization_ms,100,19.7,38.5,1595.2,3518.1,577.0
geo_phi4,elapsed_ms,100,9886.2,13169.0,18116.9,21679.0,13698.0
geo_phi4,llm_ms,100,8468.3,11634.3,15916.7,19620.4,12040.9
geo_phi4,normalization_ms,100,27.9,1477.8,3614.4,5452.0,1654.9
geo_sol4,elapsed_ms,100,11829.4,14660.5,16833.7,18323.2,14771.3
geo_sol4,llm_ms,100,10466.8,12987.8,15097.0,17295.7,13201.4
geo_sol4,normalization_ms,100,39.5,1392.6,2625.9,3255.7,1566.4
geo_stub,elapsed_ms,100,8460.6,12753.6,16257.3,19956.4,12609.9
geo_stub,llm_ms,100,8375.1,11404.9,14971.9,18527.6,11433.2
geo_stub,normalization_ms,100,24.8,1253.6,2013.5,2592.8,1174.7
gdc_structured,elapsed_ms,91,6900.8,11546.6,24151.0,26743.1,13025.1
gdc_structured,llm_ms,91,6861.4,9904.8,21599.5,24331.5,11083.9
gdc_structured,normalization_ms,91,36.5,1657.7,3702.4,9631.4,1939.3
